ID,Job_Title,Rating,Company_Name,Location,Headquarters,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Lower_Salary,Upper_Salary,Avg_SalaryK,job_title_sim,seniority_by_title,Degree,Skills,Average Salary ,Age
80,"Director, Data Science",3.6,Grainger,"Lake Forest, IL","Lake Forest, IL",10000+,1927,Public,Wholesale,Business Services,$10+ billion (USD),139,220,179.5,data scientist,Not Specified,Master's,Python,179.5,99
80,"Director, Data Science",3.6,Grainger,"Lake Forest, IL","Lake Forest, IL",10000+,1927,Public,Wholesale,Business Services,$10+ billion (USD),139,220,179.5,data scientist,Not Specified,Master's,Excel,179.5,99
80,"Director, Data Science",3.6,Grainger,"Lake Forest, IL","Lake Forest, IL",10000+,1927,Public,Wholesale,Business Services,$10+ billion (USD),139,220,179.5,data scientist,Not Specified,Master's,SQL,179.5,99
80,"Director, Data Science",3.6,Grainger,"Lake Forest, IL","Lake Forest, IL",10000+,1927,Public,Wholesale,Business Services,$10+ billion (USD),139,220,179.5,data scientist,Not Specified,Master's,SAS,179.5,99
81,Scientist,2.7,EAG Laboratories,"Maryland Heights, MO","San Diego, CA",501 - 1000,1978,Subsidiary or Business Segment,Research & Development,Business Services,$50 to $100 million (USD),50,102,76,other scientist,Not Specified,PhD,Excel,76,48
82,Data Scientist SR,3.9,The Buffalo Group,"Charlottesville, VA","Reston, VA",501 - 1000,2010,Private,IT Services,Information Technology,$100 to $500 million (USD),85,139,112,data scientist,sr,Master's,Python,112,16
82,Data Scientist SR,3.9,The Buffalo Group,"Charlottesville, VA","Reston, VA",501 - 1000,2010,Private,IT Services,Information Technology,$100 to $500 million (USD),85,139,112,data scientist,sr,Master's,Spark,112,16
82,Data Scientist SR,3.9,The Buffalo Group,"Charlottesville, VA","Reston, VA",501 - 1000,2010,Private,IT Services,Information Technology,$100 to $500 million (USD),85,139,112,data scientist,sr,Master's,SQL,112,16
82,Data Scientist SR,3.9,The Buffalo Group,"Charlottesville, VA","Reston, VA",501 - 1000,2010,Private,IT Services,Information Technology,$100 to $500 million (USD),85,139,112,data scientist,sr,Master's,Hadoop,112,16
83,Data Scientist,3.1,Carmeuse,"Pittsburgh, PA","Louvain-la-Neuve, Belgium",1001 - 5000,1860,Private,Mining,Mining & Metals,$1 to $2 billion (USD),74,122,98,data scientist,Not Specified,Master's,Python,98,166
83,Data Scientist,3.1,Carmeuse,"Pittsburgh, PA","Louvain-la-Neuve, Belgium",1001 - 5000,1860,Private,Mining,Mining & Metals,$1 to $2 billion (USD),74,122,98,data scientist,Not Specified,Master's,TensorFlow,98,166
84,R&D Sr Data Scientist,4,HP Inc.,"Vancouver, WA","Palo Alto, CA",10000+,1939,Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,99,157,128,data scientist,sr,Master's,Spark,128,87
84,R&D Sr Data Scientist,4,HP Inc.,"Vancouver, WA","Palo Alto, CA",10000+,1939,Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,99,157,128,data scientist,sr,Master's,AWS,128,87
